player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average
ST Jayasuriya,Batter,4402,92.13059857681039,4778,105,3194,4004,510,510,0,237,273,14,Sri Lanka,41.923809523809524
AC Gilchrist,Batter,4355,102.2300469483568,4260,0,0,0,538,538,0,376,162,13,Australia,
JJ Roy,Batter,4237,102.93974732750245,4116,0,0,0,519,519,0,295,224,12,England,
MN Samuels,Batter,4205,74.37212592854617,5654,66,2952,3692,426,426,0,165,261,12,West Indies,63.71212121212121
KP Pietersen,Batter,4202,84.20841683366733,4990,8,368,403,518,518,0,295,223,9,England,525.25
PD Collingwood,Batter,4132,75.16827360378389,5497,96,3444,4250,518,518,0,295,223,10,England,43.041666666666664
TWM Latham,Batter,4019,83.3990454451131,4819,0,0,0,439,439,0,228,211,8,New Zealand,
L Wolvaardt,Batter,3992,71.20941848019979,5606,0,0,0,471,471,0,290,181,6,South Africa,
H Masakadza,Batter,3955,70.04959263195182,5646,22,1174,1249,277,277,0,66,211,3,Zimbabwe,179.77272727272728
ML Hayden,Batter,3939,79.47941888619854,4956,0,0,0,540,540,0,378,162,5,Australia,
TT Beaumont,Batter,3936,74.65857359635811,5272,0,0,0,513,513,0,292,221,10,England,
BKG Mendis,Batter,3838,85.00553709856035,4515,0,28,20,512,512,0,237,275,6,Sri Lanka,
S Chanderpaul,Batter,3804,67.86797502230152,5605,0,20,26,424,424,0,164,260,7,West Indies,
HH Gibbs,Batter,3766,84.93459630130808,4434,0,0,0,466,466,0,286,180,9,South Africa,
AJ Strauss,Batter,3729,78.80388841927304,4732,0,3,6,518,518,0,295,223,7,England,
RR Sarwan,Batter,3717,72.27299241687732,5143,16,393,383,427,427,0,165,262,6,West Indies,232.3125
JM Bairstow,Batter,3671,99.70124932102118,3682,0,0,0,516,516,0,294,222,11,England,
LD Chandimal,Batter,3657,72.10173501577287,5072,0,0,0,508,508,0,236,272,6,Sri Lanka,
GJ Maxwell,Batter,3655,120.58726492906631,3031,78,3441,3812,544,544,0,381,163,11,Australia,46.85897435897436
R Dravid,Batter,3650,71.10851353984025,5133,0,0,0,573,573,0,356,217,5,India,
MM Lanning,Batter,3555,89.20953575909661,3985,1,44,45,527,527,0,367,160,11,Australia,3555.0
S Mandhana,Batter,3526,87.99600698777141,4007,1,36,24,578,578,0,359,219,11,India,3526.0
Fakhar Zaman,Batter,3434,92.28701961838216,3721,1,112,135,461,461,0,222,239,9,Pakistan,3434.0
EA Perry,Batter,3356,78.22843822843822,4290,83,2352,3198,533,533,0,372,161,16,Australia,40.433734939759034
PR Stirling,Batter,3338,85.34901559703401,3911,26,1227,1485,164,164,0,60,104,7,Ireland,128.3846153846154
E Chigumbura,Batter,3266,77.11924439197166,4235,88,3551,3753,277,277,0,66,211,6,Zimbabwe,37.11363636363637
SW Bates,Batter,3245,75.85320243104255,4278,25,1098,1326,433,433,0,225,208,6,New Zealand,129.8
AN Cook,Batter,3204,75.60169891458234,4238,0,0,0,517,517,0,295,222,7,England,
HDRL Thirimanne,Batter,3164,71.1971197119712,4444,3,94,107,506,506,0,236,270,2,Sri Lanka,1054.6666666666667
HC Knight,Batter,3158,75.10107015457788,4205,48,1020,1392,507,507,0,291,216,8,England,65.79166666666667
MDKJ Perera,Batter,3077,91.17037037037036,3375,0,0,0,512,512,0,237,275,5,Sri Lanka,
Umar Akmal,Batter,3032,83.61831218974076,3626,0,0,0,467,467,0,226,241,6,Pakistan,
GJ Bailey,Batter,3011,81.99891067538127,3672,0,0,0,544,544,0,381,163,4,Australia,
DM Bravo,Batter,3007,67.19553072625698,4475,0,0,0,427,427,0,165,262,3,West Indies,
BJ Haddin,Batter,3003,82.31907894736842,3648,0,0,0,545,545,0,381,164,3,Australia,
M Raj,Batter,2949,68.26388888888889,4320,0,0,0,564,564,0,349,215,6,India,
AM Rahane,Batter,2906,76.23294858342078,3812,0,0,0,571,571,0,354,217,5,India,
AE Satterthwaite,Batter,2895,80.01658374792703,3618,29,839,1060,433,433,0,225,208,5,New Zealand,99.82758620689656
Imam-ul-Haq,Batter,2840,81.32875143184421,3492,0,0,0,451,451,0,220,231,3,Pakistan,
T Taibu,Batter,2837,66.95775312721265,4237,0,20,25,275,275,0,66,209,3,Zimbabwe,
IJL Trott,Batter,2819,75.53590568060021,3732,3,174,185,505,505,0,289,216,3,England,939.6666666666666
SFM Devine,Batter,2796,87.53913587977458,3194,55,1914,2489,433,433,0,225,208,8,New Zealand,50.836363636363636
Mohammad Yousuf,Batter,2783,74.3918738305266,3741,1,0,1,458,458,0,221,237,2,Pakistan,2783.0
CR Ervine,Batter,2770,76.28752409804461,3631,0,0,0,277,277,0,66,211,6,Zimbabwe,
MR Marsh,Batter,2762,93.5320013545547,2953,57,2047,2257,543,543,0,381,162,8,Australia,48.45614035087719
KL Rahul,Batter,2761,86.36221457616516,3197,0,0,0,580,580,0,360,220,4,India,
DJ Bravo,Batter,2760,78.72219053051911,3506,193,5330,6052,427,427,0,165,262,9,West Indies,14.300518134715025
AC Jayangani,Batter,2760,77.98813224074598,3539,34,1295,1421,497,497,0,231,266,8,Sri Lanka,81.17647058823529
AJ Healy,Batter,2759,95.23645150155333,2897,0,0,0,533,533,0,372,161,8,Australia,
Kamran Akmal,Batter,2746,81.38707765263781,3374,0,0,0,469,469,0,227,242,4,Pakistan,
RS Bopara,Batter,2689,76.39204545454545,3520,41,1546,1858,509,509,0,291,218,5,England,65.58536585365853
WTS Porterfield,Batter,2670,67.3902069661787,3962,0,0,0,164,164,0,60,104,5,Ireland,
TM Head,Batter,2645,102.20247295208655,2588,25,1062,1117,543,543,0,381,162,7,Australia,105.8
SE Marsh,Batter,2622,79.02350813743219,3318,0,0,0,545,545,0,381,164,4,Australia,
MV Boucher,Batter,2617,88.3823032759203,2961,0,0,0,466,466,0,286,180,2,South Africa,
KA Pollard,Batter,2608,90.64998262078554,2877,59,2086,2226,429,429,0,165,264,4,West Indies,44.20338983050848
Ahmed Shehzad,Batter,2555,70.52166712669059,3623,2,140,116,466,466,0,225,241,6,Pakistan,1277.5
L Lee,Batter,2516,82.65440210249672,3044,2,56,86,471,471,0,290,181,6,South Africa,1258.0
A Balbirnie,Batter,2438,74.21613394216135,3285,1,31,24,163,163,0,59,104,4,Ireland,2438.0
BL Mooney,Batter,2433,84.71448467966573,2872,0,0,0,533,533,0,372,161,4,Australia,
SC Ganguly,Batter,2409,70.25371828521435,3429,22,864,1015,573,573,0,356,217,5,India,109.5
SS Iyer,Batter,2396,98.03600654664486,2444,0,39,39,576,576,0,357,219,4,India,
HE van der Dussen,Batter,2388,85.10334996436208,2806,1,3,6,472,472,0,291,181,3,South Africa,2388.0
AD Hales,Batter,2330,93.83809907370116,2483,0,0,0,515,515,0,294,221,5,England,
Shubman Gill,Batter,2328,99.02169289663972,2351,0,25,18,560,560,0,347,213,4,India,
Abdul Razzaq,Batter,2327,86.53774637411678,2689,110,3694,4518,464,464,0,224,240,9,Pakistan,21.154545454545456
HK Matthews,Batter,2327,75.16149870801033,3096,83,2210,3025,428,428,0,165,263,10,West Indies,28.03614457831325
RD Berrington,Batter,2292,74.36729396495781,3082,15,647,762,101,101,0,54,47,4,Scotland,152.8
Sarfraz Ahmed,Batter,2289,85.6341189674523,2673,0,15,12,467,467,0,226,241,5,Pakistan,
KJ Coetzer,Batter,2280,80.67940552016985,2826,1,132,169,101,101,0,54,47,3,Scotland,2280.0
MM Ali,Batter,2278,94.21009098428453,2418,119,5303,5935,519,519,0,295,224,5,England,19.142857142857142
Mohammad Rizwan,Batter,2254,87.36434108527132,2580,0,0,0,462,462,0,223,239,1,Pakistan,
Imrul Kayes,Batter,2242,68.6046511627907,3268,0,0,0,345,345,0,134,211,4,Bangladesh,
DR Martyn,Batter,2239,75.3872053872054,2970,1,78,90,540,540,0,378,162,5,Australia,2239.0
M du Preez,Batter,2223,69.59924859110833,3194,1,22,18,471,471,0,290,181,7,South Africa,2223.0
M Kapp,Batter,2195,85.30897784687136,2573,133,3154,4729,471,471,0,290,181,8,South Africa,16.50375939849624
Salman Butt,Batter,2186,74.55661664392906,2932,0,90,72,469,469,0,227,242,5,Pakistan,
Liton Das,Batter,2178,84.3205574912892,2583,0,0,0,336,336,0,132,204,4,Bangladesh,
JO Holder,Batter,2144,88.19415878239407,2431,162,5712,6205,429,429,0,165,264,5,West Indies,13.234567901234568
SP Fleming,Batter,2133,70.25691699604744,3036,0,0,0,441,441,0,229,212,5,New Zealand,
V Sibanda,Batter,2125,61.29218344389963,3467,4,267,276,276,276,0,66,210,2,Zimbabwe,531.25
HM Nicholls,Batter,2116,78.9846957820082,2679,0,0,0,437,437,0,227,210,2,New Zealand,
A Flintoff,Batter,2096,88.58833474218089,2366,132,2682,3784,509,509,0,291,218,9,England,15.878787878787879
S Luus,Batter,2080,65.2856246076585,3186,84,2006,2630,471,471,0,290,181,3,South Africa,24.761904761904763
D Ramdin,Batter,2072,78.60394537177542,2636,0,0,0,426,426,0,165,261,1,West Indies,
AE Jones,Batter,2071,83.50806451612904,2480,0,0,0,513,513,0,292,221,4,England,
CL White,Batter,2053,79.4812233836624,2583,11,331,318,539,539,0,377,162,3,Australia,186.63636363636363
Soumya Sarkar,Batter,2044,95.29137529137529,2145,20,545,543,336,336,0,132,204,5,Bangladesh,102.2
CS MacLeod,Batter,2015,78.40466926070039,2570,8,635,774,101,101,0,54,47,5,Scotland,251.875
ME Trescothick,Batter,1997,80.5241935483871,2480,2,149,155,518,518,0,295,223,4,England,998.5
KJ O'Brien,Batter,1990,92.51510925151094,2151,60,2221,2392,164,164,0,60,104,4,Ireland,33.166666666666664
CJ Chibhabha,Batter,1987,63.48242811501598,3130,30,1379,1417,275,275,0,66,209,1,Zimbabwe,66.23333333333333
AT Carey,Batter,1978,87.63845813026141,2257,0,0,0,543,543,0,381,162,2,Australia,
MS Atapattu,Batter,1978,66.82432432432432,2960,0,0,0,509,509,0,236,273,3,Sri Lanka,
H Klaasen,Batter,1977,115.0087260034904,1719,0,33,30,469,469,0,289,180,7,South Africa,
RL Haynes,Batter,1966,79.11468812877264,2485,2,34,24,527,527,0,367,160,5,Australia,983.0
LMP Simmons,Batter,1958,71.4337832907698,2741,1,172,163,426,426,0,165,261,2,West Indies,1958.0
Bismah Maroof,Batter,1938,63.27130264446621,3063,12,498,666,459,459,0,221,238,2,Pakistan,161.5
Inzamam-ul-Haq,Batter,1916,77.19580983078163,2482,0,0,0,464,464,0,224,240,3,Pakistan,
E Lewis,Batter,1903,85.75935105903561,2219,0,0,0,429,429,0,165,264,4,West Indies,
BC Lara,Batter,1878,76.49694501018331,2455,0,0,0,424,424,0,164,260,1,West Indies,
AC Kerr,Batter,1854,74.96967246259604,2473,97,2891,3719,433,433,0,225,208,3,New Zealand,19.11340206185567
DJG Sammy,Batter,1853,96.2097611630322,1926,87,3842,4891,427,427,0,165,262,5,West Indies,21.298850574712645
EC Joyce,Batter,1845,69.20480120030007,2666,0,0,0,164,164,0,60,104,5,Ireland,
V Aravind,Batter,1843,67.2382342210872,2741,0,0,0,99,99,0,34,65,2,United Arab Emirates,
N Pooran,Batter,1829,95.6089911134344,1913,6,174,178,429,429,0,165,264,1,West Indies,304.8333333333333
KIC Asalanka,Batter,1810,86.60287081339713,2090,16,388,486,495,495,0,230,265,3,Sri Lanka,113.125
P Nissanka,Batter,1810,84.10780669144981,2152,0,0,0,495,495,0,230,265,2,Sri Lanka,
MG Erasmus,Batter,1810,78.42287694974004,2308,34,921,1286,55,55,0,26,29,5,Namibia,53.23529411764706
Azhar Ali,Batter,1806,72.88135593220339,2478,4,262,264,468,468,0,227,241,1,Pakistan,451.5
MS Wade,Batter,1792,80.50314465408806,2226,0,0,0,535,535,0,374,161,3,Australia,
MD Patel,Batter,1792,80.03573023671282,2239,0,0,0,64,64,0,30,34,6,United States of America,
A Vala,Batter,1783,68.7355435620663,2594,47,1320,2017,63,63,0,12,51,1,Papua New Guinea,37.93617021276596
M Labuschagne,Batter,1764,82.8169014084507,2130,6,284,254,543,543,0,381,162,2,Australia,294.0
HH Pandya,Batter,1762,107.70171149144254,1636,81,2919,3218,572,572,0,355,217,4,India,21.753086419753085
Yousuf Youhana,Batter,1740,78.80434782608695,2208,0,1,1,464,464,0,224,240,4,Pakistan,
Haris Sohail,Batter,1709,85.02487562189054,2010,13,593,613,468,468,0,227,241,2,Pakistan,131.46153846153845
NJ O'Brien,Batter,1692,70.67669172932331,2394,0,0,0,161,161,0,57,104,2,Ireland,
MP O'Dowd,Batter,1682,68.90618598934863,2441,1,129,127,90,90,0,29,61,4,Netherlands,1682.0
DN Wyatt,Batter,1680,90.76175040518638,1851,14,447,537,513,513,0,292,221,4,England,120.0
DJS Dottin,Batter,1679,81.11111111111111,2070,53,1209,1496,428,428,0,165,263,4,West Indies,31.67924528301887
HG Munsey,Batter,1675,85.15505846466701,1967,0,0,0,101,101,0,54,47,1,Scotland,
MH Cross,Batter,1675,67.9788961038961,2464,0,0,0,101,101,0,54,47,3,Scotland,
DJ Hussey,Batter,1672,87.44769874476988,1912,19,694,791,545,545,0,381,164,1,Australia,88.0
SJ Taylor,Batter,1651,85.45548654244305,1932,0,0,0,507,507,0,291,216,6,England,
AT Rayudu,Batter,1637,76.38824078394774,2143,3,128,124,575,575,0,356,219,3,India,545.6666666666666
RK Paudel,Batter,1629,73.24640287769785,2224,10,238,346,65,65,0,33,32,5,Nepal,162.9
KD Karthik,Batter,1624,71.38461538461539,2275,0,0,0,569,569,0,352,217,1,India,
HT Tector,Batter,1622,83.99792853443812,1931,2,149,148,163,163,0,59,104,0,Ireland,811.0
DJ Mitchell,Batter,1616,96.59294680215183,1673,13,293,315,431,431,0,224,207,0,New Zealand,124.3076923076923
N Dickwella,Batter,1604,91.2400455062571,1758,0,0,0,512,512,0,237,275,1,Sri Lanka,
Sidra Ameen,Batter,1595,63.04347826086957,2530,0,0,0,459,459,0,221,238,5,Pakistan,
MD Gunathilaka,Batter,1592,83.83359662980516,1899,8,375,405,507,507,0,236,271,2,Sri Lanka,199.0
OA Shah,Batter,1579,80.4381049414162,1963,7,184,199,502,502,0,287,215,2,England,225.57142857142858
NJ Astle,Batter,1571,75.60153994225216,2078,8,346,404,434,434,0,225,209,5,New Zealand,196.375
T Bavuma,Batter,1548,87.26042841037204,1774,0,22,37,443,443,0,272,171,2,South Africa,
J Charles,Batter,1544,83.91304347826087,1840,0,12,7,430,430,0,166,264,3,West Indies,
UT Khawaja,Batter,1539,82.5201072386059,1865,0,0,0,542,542,0,380,162,3,Australia,
JDS Neesham,Batter,1508,98.04941482444734,1538,71,2573,2512,439,439,0,228,211,1,New Zealand,21.239436619718308
CK Kapugedera,Batter,1505,69.77283263792305,2157,2,226,271,510,510,0,237,273,1,Sri Lanka,752.5
SA Edwards,Batter,1504,90.65702230259193,1659,0,0,0,90,90,0,29,61,3,Netherlands,
MP Stoinis,Batter,1489,91.80024660912454,1622,48,2067,2073,543,543,0,381,162,1,Australia,31.020833333333332
Yasir Hameed,Batter,1459,65.57303370786516,2225,0,0,0,464,464,0,224,240,4,Pakistan,
NE Bolton,Batter,1443,69.74383760270662,2069,2,37,30,516,516,0,360,156,6,Australia,721.5
CL Tryon,Batter,1440,107.14285714285714,1344,40,1445,1914,464,464,0,285,179,4,South Africa,36.0
PG Raut,Batter,1436,61.1063829787234,2350,0,0,0,578,578,0,359,219,3,India,
WA Young,Batter,1426,86.16314199395771,1655,0,0,0,416,416,0,219,197,5,New Zealand,
Aasif Sheikh,Batter,1423,73.23726196603191,1943,0,0,0,65,65,0,33,32,5,Nepal,
DJ Malan,Batter,1418,94.28191489361703,1504,1,17,15,519,519,0,295,224,4,England,1418.0
Nasir Jamshed,Batter,1418,73.43345416882444,1931,0,0,0,466,466,0,225,241,3,Pakistan,
T Chetty,Batter,1414,68.5077519379845,2064,0,0,0,471,471,0,290,181,3,South Africa,
SO Hetmyer,Batter,1410,105.61797752808988,1335,0,0,0,429,429,0,165,264,4,West Indies,
Javeria Khan,Batter,1408,61.51157710790738,2289,8,271,299,463,463,0,223,240,2,Pakistan,176.0
ML Green,Batter,1407,67.70933589990375,2078,0,81,79,433,433,0,225,208,3,New Zealand,
WIA Fernando,Batter,1404,84.93647912885662,1653,0,0,0,511,511,0,237,274,6,Sri Lanka,
Rohan Mustafa,Batter,1401,61.96373286156568,2261,87,2654,3508,99,99,0,34,65,4,United Arab Emirates,16.103448275862068
Waseem Muhammad,Batter,1398,85.87223587223588,1628,0,96,75,99,99,0,34,65,2,United Arab Emirates,
L Ronchi,Batter,1397,112.57050765511684,1241,0,0,0,439,439,0,228,211,1,New Zealand,
MP Vaughan,Batter,1382,65.25023607176583,2118,9,429,522,509,509,0,291,218,2,England,153.55555555555554
Jatinder Singh,Batter,1356,71.36842105263158,1900,1,37,43,52,52,0,27,25,2,Oman,1356.0
GH Lewis,Batter,1348,65.98139990210474,2043,8,373,390,162,162,0,58,104,2,Ireland,168.5
JR Hopes,Batter,1326,92.33983286908078,1436,73,2414,3132,545,545,0,381,164,2,Australia,18.164383561643834
Anamul Haque,Batter,1322,74.06162464985995,1785,0,0,0,342,342,0,134,208,2,Bangladesh,
KM Jadhav,Batter,1318,100.84162203519512,1307,28,1005,1173,576,576,0,357,219,3,India,47.07142857142857
M Kaif,Batter,1314,63.72453928225025,2062,0,0,0,570,570,0,353,217,1,India,
Asad Shafiq,Batter,1312,66.06243705941591,1986,0,18,12,460,460,0,222,238,0,Pakistan,
S Matsikenyeri,Batter,1309,66.51422764227642,1968,15,563,687,266,266,0,64,202,0,Zimbabwe,87.26666666666667
MA Leask,Batter,1306,111.33844842284739,1173,64,1789,2184,101,101,0,54,47,3,Scotland,20.40625
BA King,Batter,1306,82.86802030456852,1576,0,0,0,430,430,0,166,264,4,West Indies,
Mashrafe Mortaza,Batter,1304,81.04412678682411,1609,227,7441,8756,343,343,0,134,209,9,Bangladesh,5.744493392070485
M van Lingen,Batter,1300,90.15256588072123,1442,2,65,76,55,55,0,26,29,4,Namibia,650.0
HH Dippenaar,Batter,1283,67.4198633736206,1903,0,0,0,445,445,0,272,173,7,South Africa,
LPC Silva,Batter,1279,70.85872576177286,1805,1,34,44,496,496,0,231,265,1,Sri Lanka,1279.0
Fargana Hoque,Batter,1275,49.399457574583494,2581,0,0,0,333,333,0,130,203,1,Bangladesh,
DR Smith,Batter,1261,88.18181818181819,1430,53,1888,2257,426,426,0,165,261,3,West Indies,23.79245283018868
Sabbir Rahman,Batter,1259,90.25089605734767,1395,3,337,289,335,335,0,132,203,0,Bangladesh,419.6666666666667
C Munro,Batter,1249,103.47970173985087,1207,9,483,563,439,439,0,228,211,0,New Zealand,138.77777777777777
JD Ryder,Batter,1242,95.98145285935085,1294,11,357,359,435,435,0,226,209,3,New Zealand,112.9090909090909
RR Rossouw,Batter,1239,92.39373601789708,1341,1,44,46,451,451,0,277,174,1,South Africa,1239.0
GC Wilson,Batter,1232,74.53115547489413,1653,0,0,0,164,164,0,60,104,1,Ireland,
Imran Farhat,Batter,1232,64.53640649554741,1909,2,44,51,467,467,0,226,241,1,Pakistan,616.0
MJ Prior,Batter,1229,74.39467312348668,1652,0,0,0,503,503,0,288,215,1,England,
DP Conway,Batter,1226,86.95035460992908,1410,0,0,0,431,431,0,224,207,3,New Zealand,
IK Pathan,Batter,1226,79.19896640826873,1548,156,4419,5050,563,563,0,348,215,5,India,7.858974358974359
PG Fulton,Batter,1216,70.45191193511008,1726,0,0,0,443,443,0,231,212,3,New Zealand,
Shahriar Nafees,Batter,1216,66.92350027517887,1817,0,0,0,345,345,0,134,211,3,Bangladesh,
Aliya Riaz,Batter,1207,63.66033755274262,1896,13,806,894,463,463,0,223,240,1,Pakistan,92.84615384615384
RS Morton,Batter,1205,64.36965811965813,1872,0,2,6,408,408,0,157,251,2,West Indies,
TP Ura,Batter,1196,78.3748361730013,1526,0,12,6,63,63,0,12,51,1,Papua New Guinea,
Vikramjit Singh,Batter,1190,70.33096926713948,1692,7,261,257,90,90,0,29,61,2,Netherlands,170.0
Mehedi Hasan Miraz,Batter,1188,78.3641160949868,1516,107,3511,4240,336,336,0,132,204,5,Bangladesh,11.102803738317757
K Bhurtel,Batter,1182,78.90520694259013,1498,12,292,361,65,65,0,33,32,3,Nepal,98.5
Raqibul Hasan,Batter,1177,61.623036649214654,1910,0,0,0,337,337,0,132,205,0,Bangladesh,
A Gardner,Batter,1175,100.59931506849315,1168,103,2068,3018,527,527,0,367,160,4,Australia,11.407766990291263
Nida Dar,Batter,1171,65.6390134529148,1784,62,2224,2917,463,463,0,223,240,2,Pakistan,18.887096774193548
SA Campbelle,Batter,1167,59.907597535934286,1948,4,130,195,420,420,0,163,257,1,West Indies,291.75
Nazmul Hossain Shanto,Batter,1165,79.95881949210707,1457,1,59,72,329,329,0,127,202,2,Bangladesh,1165.0
KJ Martin,Batter,1161,75.5859375,1536,0,0,0,426,426,0,222,204,1,New Zealand,
Asif Khan,Batter,1155,80.99579242636746,1426,0,0,0,99,99,0,34,65,4,United Arab Emirates,
MD Shanaka,Batter,1153,87.54745634016705,1317,22,844,938,498,498,0,231,267,1,Sri Lanka,52.40909090909091
Nahida Khan,Batter,1121,63.69318181818182,1760,0,12,12,456,456,0,221,235,0,Pakistan,
RW Chakabva,Batter,1106,67.03030303030303,1650,0,0,0,274,274,0,66,208,0,Zimbabwe,
L Vincent,Batter,1089,68.36158192090396,1593,1,22,18,434,434,0,225,209,4,New Zealand,1089.0
F Behardien,Batter,1074,96.40933572710951,1114,12,694,716,463,463,0,284,179,1,South Africa,89.5
S Samarawickrama,Batter,1073,90.625,1184,0,0,0,495,495,0,230,265,2,Sri Lanka,
WW Hinds,Batter,1066,65.55965559655597,1626,22,515,626,424,424,0,164,260,1,West Indies,48.45454545454545
Aftab Ahmed,Batter,1061,73.12198483804274,1451,4,379,411,344,344,0,134,210,2,Bangladesh,265.25
CM Edwards,Batter,1054,71.99453551912568,1464,2,51,48,507,507,0,291,216,4,England,527.0
JI Rodrigues,Batter,1051,80.90839107005388,1299,5,13,39,578,578,0,359,219,2,India,210.2
FDM Karunaratne,Batter,1044,76.59574468085107,1363,0,18,16,511,511,0,237,274,1,Sri Lanka,
SM Katich,Batter,1041,68.62228081740277,1517,0,0,0,537,537,0,376,161,0,Australia,
MN Waller,Batter,1039,75.12653651482285,1383,9,497,580,261,261,0,62,199,1,Zimbabwe,115.44444444444444
RP Arnold,Batter,1039,69.68477531857815,1491,8,326,352,509,509,0,236,273,0,Sri Lanka,129.875
AD Russell,Batter,1034,128.4472049689441,805,72,2235,2362,426,426,0,165,261,5,West Indies,14.36111111111111
Aarif Sheikh,Batter,1032,62.62135922330098,1648,8,589,762,65,65,0,33,32,2,Nepal,129.0
Junaid Siddique,Batter,1021,66.6884389288047,1531,77,2137,2575,99,99,0,34,65,0,United Arab Emirates,13.25974025974026
